Tabela_Final_País,Tabela_Final_Código,Tabela_Final_Ano,Tabela_Final_Energia_Hídrica_,Tabela_Final_Energia_Éolica_,Tabela_Final_Energia_Solar_,Tabela_Final_Energia_Renovável_,Tabela_Final_Renewables_bins_
Argentina,ARG,2007,27.12,0.05,0.00,10.60,0.00
Argentina,ARG,2008,26.24,0.03,0.00,10.44,0.00
Argentina,ARG,2009,28.83,0.03,0.00,11.78,0.00
Argentina,ARG,2010,27.60,0.03,0.00,11.66,0.00
Argentina,ARG,2011,25.28,0.05,0.00,10.93,0.00
Argentina,ARG,2012,22.31,0.64,0.01,10.22,0.00
Argentina,ARG,2013,24.57,0.76,0.01,10.95,0.00
Argentina,ARG,2014,24.53,0.47,0.02,11.04,0.00
Argentina,ARG,2015,23.18,0.43,0.01,10.91,0.00
Argentina,ARG,2016,21.05,0.39,0.01,10.17,0.00
Argentina,ARG,2017,22.70,0.44,0.01,10.96,0.00
Argentina,ARG,2018,22.86,1.00,0.08,11.40,0.00
Argentina,ARG,2019,20.52,3.72,0.59,11.93,0.00
Argentina,ARG,2020,17.49,6.72,0.96,12.18,0.00
Argentina,ARG,2021,13.76,8.73,1.48,11.33,0.00
Australia,AUS,1985,11.27,0.00,0.00,4.86,0.00
Australia,AUS,1986,10.83,0.00,0.00,4.80,0.00
Australia,AUS,1987,10.02,0.00,0.00,4.53,0.00
Australia,AUS,1988,10.00,0.00,0.00,4.64,0.00
Australia,AUS,1989,9.41,0.00,0.00,4.42,0.00
Australia,AUS,1990,9.48,0.00,0.00,4.46,0.00
Australia,AUS,1991,9.91,0.00,0.00,4.74,0.00
Australia,AUS,1992,9.88,0.00,0.01,4.73,0.00
Australia,AUS,1993,9.91,0.00,0.01,4.76,0.00
Australia,AUS,1994,9.49,0.00,0.01,4.53,0.00
Australia,AUS,1995,8.92,0.00,0.01,4.24,0.00
Australia,AUS,1996,8.87,0.00,0.01,4.24,0.00
Australia,AUS,1997,8.44,0.00,0.02,4.15,0.00
Australia,AUS,1998,7.92,0.01,0.02,4.04,0.00
Australia,AUS,1999,7.87,0.02,0.02,4.01,0.00
Australia,AUS,2000,8.18,0.03,0.02,3.99,0.00
Australia,AUS,2001,7.75,0.10,0.02,3.87,0.00
Australia,AUS,2002,7.32,0.17,0.02,3.93,0.00
Australia,AUS,2003,7.55,0.33,0.03,4.02,0.00
Australia,AUS,2004,7.12,0.31,0.03,4.04,0.00
Australia,AUS,2005,7.03,0.41,0.04,4.31,0.00
Australia,AUS,2006,7.17,0.78,0.04,4.23,0.00
Australia,AUS,2007,6.19,1.14,0.05,3.98,0.00
Australia,AUS,2008,5.14,1.35,0.06,3.68,0.00
Australia,AUS,2009,4.98,1.63,0.07,3.92,0.00
Australia,AUS,2010,5.78,2.11,0.17,4.31,0.00
Australia,AUS,2011,6.93,2.82,0.58,5.70,0.00
Australia,AUS,2012,5.99,3.17,1.00,5.70,0.00
Australia,AUS,2013,7.88,4.15,1.51,6.53,0.00
Australia,AUS,2014,7.59,4.31,1.66,5.98,0.00
Australia,AUS,2015,5.77,4.96,2.17,6.29,0.00
Australia,AUS,2016,6.10,5.57,2.52,7.19,0.00
Australia,AUS,2017,6.42,5.31,3.23,6.75,0.00
Australia,AUS,2018,6.31,5.47,3.97,8.30,0.00
Australia,AUS,2019,6.24,7.89,5.94,8.88,0.00
Australia,AUS,2020,5.88,8.85,9.51,10.79,0.00
Australia,AUS,2021,5.97,10.56,11.35,12.93,0.00
Austria,AUT,1985,70.36,0.00,0.00,29.77,28.96
Austria,AUT,1986,70.27,0.00,0.00,30.18,28.96
Austria,AUT,1987,71.22,0.00,0.00,32.19,28.96
Austria,AUT,1988,73.32,0.00,0.00,32.73,28.96
Austria,AUT,1989,71.37,0.00,0.00,32.41,28.96
Austria,AUT,1990,63.91,0.00,0.00,28.91,14.48
Austria,AUT,1991,62.65,0.00,0.00,27.59,14.48
Austria,AUT,1992,69.77,0.00,0.00,31.04,28.96
Austria,AUT,1993,71.46,0.00,0.00,32.09,28.96
Austria,AUT,1994,68.53,0.00,0.00,31.30,28.96
Austria,AUT,1995,67.18,0.00,0.00,31.52,28.96
Austria,AUT,1996,63.88,0.00,0.00,28.95,14.48
Austria,AUT,1997,64.85,0.04,0.00,29.96,28.96
Austria,AUT,1998,66.45,0.09,0.00,30.44,28.96
Austria,AUT,1999,67.92,0.08,0.00,32.26,28.96
Austria,AUT,2000,69.91,0.12,0.00,32.95,28.96
Austria,AUT,2001,66.26,0.16,0.02,30.82,28.96
Austria,AUT,2002,66.29,0.23,0.02,30.33,28.96
Austria,AUT,2003,57.20,0.64,0.02,25.14,14.48
Austria,AUT,2004,59.36,1.50,0.03,27.63,14.48
Austria,AUT,2005,57.53,2.06,0.03,27.95,14.48
Austria,AUT,2006,57.26,2.81,0.03,28.59,14.48
Austria,AUT,2007,58.89,3.24,0.03,30.98,28.96
Austria,AUT,2008,59.43,3.12,0.05,31.35,28.96
Austria,AUT,2009,61.69,2.94,0.08,34.32,28.96
Austria,AUT,2010,56.49,3.03,0.13,31.61,28.96
Austria,AUT,2011,55.00,3.12,0.27,30.72,28.96
Austria,AUT,2012,63.83,3.58,0.49,35.93,28.96
Austria,AUT,2013,65.06,4.88,0.98,35.27,28.96
Austria,AUT,2014,66.55,6.25,1.28,36.64,28.96
Austria,AUT,2015,60.08,7.83,1.52,34.96,28.96
Austria,AUT,2016,61.26,8.02,1.69,35.65,28.96
Austria,AUT,2017,56.79,9.74,1.88,34.50,28.96
Austria,AUT,2018,57.87,9.27,2.24,34.57,28.96
Austria,AUT,2019,57.62,10.51,2.40,35.61,28.96
Austria,AUT,2020,60.70,9.81,2.95,38.26,28.96
Austria,AUT,2021,57.88,10.07,4.15,37.48,28.96
Azerbaijan,AZE,1985,6.34,0.00,0.00,1.65,0.00
Azerbaijan,AZE,1986,3.73,0.00,0.00,0.94,0.00
Azerbaijan,AZE,1987,3.51,0.00,0.00,0.97,0.00
Azerbaijan,AZE,1988,2.96,0.00,0.00,0.84,0.00
Azerbaijan,AZE,1989,3.00,0.00,0.00,0.83,0.00
Azerbaijan,AZE,1990,7.16,0.00,0.00,1.88,0.00
Azerbaijan,AZE,1991,7.50,0.00,0.00,2.08,0.00
Azerbaijan,AZE,1992,8.84,0.00,0.00,2.41,0.00
Azerbaijan,AZE,1993,12.73,0.00,0.00,3.86,0.00
Azerbaijan,AZE,1994,10.41,0.00,0.00,3.17,0.00
Azerbaijan,AZE,1995,9.13,0.00,0.00,2.86,0.00
Azerbaijan,AZE,1996,9.00,0.00,0.00,3.45,0.00
Azerbaijan,AZE,1997,10.17,0.00,0.00,4.01,0.00
Azerbaijan,AZE,1998,10.84,0.00,0.00,4.56,0.00
Azerbaijan,AZE,1999,8.29,0.00,0.00,3.53,0.00
Azerbaijan,AZE,2000,8.61,0.00,0.00,3.45,0.00
Azerbaijan,AZE,2001,7.21,0.00,0.00,3.01,0.00
Azerbaijan,AZE,2002,10.83,0.00,0.00,4.70,0.00
Azerbaijan,AZE,2003,12.12,0.00,0.00,5.28,0.00
Azerbaijan,AZE,2004,13.32,0.00,0.00,5.16,0.00
Azerbaijan,AZE,2005,14.83,0.00,0.00,5.17,0.00
Azerbaijan,AZE,2006,11.16,0.00,0.00,4.37,0.00
Azerbaijan,AZE,2007,11.33,0.00,0.00,4.50,0.00
Azerbaijan,AZE,2008,10.81,0.00,0.00,4.18,0.00
Azerbaijan,AZE,2009,12.82,0.00,0.00,4.87,0.00
Azerbaijan,AZE,2010,19.21,0.00,0.00,7.31,0.00
Azerbaijan,AZE,2011,13.79,0.00,0.00,5.08,0.00
Azerbaijan,AZE,2012,8.29,0.00,0.00,3.34,0.00
Azerbaijan,AZE,2013,6.67,0.00,0.00,2.78,0.00
Azerbaijan,AZE,2014,5.53,0.00,0.00,2.43,0.00
Azerbaijan,AZE,2015,6.96,0.00,0.00,2.76,0.00
Azerbaijan,AZE,2016,8.23,0.08,0.17,3.35,0.00
Azerbaijan,AZE,2017,7.53,0.09,0.17,3.05,0.00
Azerbaijan,AZE,2018,7.35,0.34,0.17,3.07,0.00
Azerbaijan,AZE,2019,6.30,0.41,0.16,2.67,0.00
Azerbaijan,AZE,2020,4.39,0.41,0.21,1.98,0.00
Azerbaijan,AZE,2021,4.87,0.34,0.19,2.20,0.00
Bangladesh,BGD,1985,16.32,0.00,0.00,4.53,0.00
Bangladesh,BGD,1986,9.38,0.00,0.00,2.53,0.00
Bangladesh,BGD,1987,9.25,0.00,0.00,2.64,0.00
Bangladesh,BGD,1988,10.32,0.00,0.00,3.09,0.00
Bangladesh,BGD,1989,12.93,0.00,0.00,3.91,0.00
Bangladesh,BGD,1990,11.43,0.00,0.00,3.54,0.00
Bangladesh,BGD,1991,10.13,0.00,0.00,3.48,0.00
Bangladesh,BGD,1992,8.95,0.00,0.00,3.03,0.00
Bangladesh,BGD,1993,6.60,0.00,0.00,2.10,0.00
Bangladesh,BGD,1994,8.66,0.00,0.00,2.76,0.00
Bangladesh,BGD,1995,3.44,0.00,0.00,1.03,0.00
Bangladesh,BGD,1996,6.44,0.00,0.00,1.95,0.00
Bangladesh,BGD,1997,6.06,0.00,0.00,1.80,0.00
Bangladesh,BGD,1998,6.71,0.00,0.00,2.04,0.00
Bangladesh,BGD,1999,5.76,0.00,0.00,1.94,0.00
Bangladesh,BGD,2000,6.32,0.00,0.00,1.63,0.00
Bangladesh,BGD,2001,5.98,0.00,0.00,1.88,0.00
Bangladesh,BGD,2002,5.97,0.00,0.00,1.36,0.00
Bangladesh,BGD,2003,6.02,0.00,0.00,1.28,0.00
Bangladesh,BGD,2004,5.20,0.00,0.00,1.23,0.00
Bangladesh,BGD,2005,5.03,0.00,0.00,1.14,0.00
Bangladesh,BGD,2006,4.72,0.00,0.03,1.05,0.00
Bangladesh,BGD,2007,2.53,0.00,0.07,1.02,0.00
Bangladesh,BGD,2008,2.91,0.00,0.06,1.22,0.00
Bangladesh,BGD,2009,1.25,0.00,0.09,0.51,0.00
Bangladesh,BGD,2010,1.97,0.00,0.18,0.86,0.00
Bangladesh,BGD,2011,2.21,0.00,0.14,0.95,0.00
Bangladesh,BGD,2012,1.79,0.00,0.20,0.83,0.00
Bangladesh,BGD,2013,1.88,0.00,0.26,0.79,0.00
Bangladesh,BGD,2014,1.18,0.00,0.30,0.65,0.00
Bangladesh,BGD,2015,1.06,0.02,0.36,0.82,0.00
Bangladesh,BGD,2016,1.56,0.02,0.34,0.81,0.00
Bangladesh,BGD,2017,1.49,0.01,0.36,0.89,0.00
Bangladesh,BGD,2018,1.46,0.01,0.38,0.75,0.00
Bangladesh,BGD,2019,0.97,0.01,0.42,0.68,0.00
Bangladesh,BGD,2020,1.16,0.01,0.52,0.66,0.00
Bangladesh,BGD,2021,1.09,0.01,0.58,0.65,0.00
Belarus,BLR,1985,0.06,0.00,0.00,0.01,0.00
Belarus,BLR,1986,0.06,0.00,0.00,0.01,0.00
Belarus,BLR,1987,0.05,0.00,0.00,0.01,0.00
Belarus,BLR,1988,0.05,0.00,0.00,0.01,0.00
Belarus,BLR,1989,0.05,0.00,0.00,0.01,0.00
Belarus,BLR,1990,0.05,0.00,0.00,0.01,0.00
Belarus,BLR,1991,0.05,0.00,0.00,0.01,0.00
Belarus,BLR,1992,0.05,0.00,0.00,0.01,0.00
Belarus,BLR,1993,0.06,0.00,0.00,0.02,0.00
Belarus,BLR,1994,0.06,0.00,0.00,0.02,0.00
Belarus,BLR,1995,0.08,0.00,0.00,0.02,0.00
Belarus,BLR,1996,0.07,0.00,0.00,0.02,0.00
Belarus,BLR,1997,0.08,0.00,0.00,0.02,0.00
Belarus,BLR,1998,0.12,0.00,0.00,0.03,0.00
Belarus,BLR,1999,0.07,0.00,0.00,0.02,0.00
Belarus,BLR,2000,0.12,0.00,0.00,0.03,0.00
Belarus,BLR,2001,0.13,0.00,0.00,0.04,0.00
Belarus,BLR,2002,0.12,0.00,0.00,0.03,0.00
Belarus,BLR,2003,0.12,0.00,0.00,0.03,0.00
Belarus,BLR,2004,0.10,0.00,0.00,0.03,0.00
Belarus,BLR,2005,0.14,0.00,0.00,0.04,0.00
Belarus,BLR,2006,0.13,0.00,0.00,0.04,0.00
Belarus,BLR,2007,0.13,0.00,0.00,0.05,0.00
Belarus,BLR,2008,0.12,0.00,0.00,0.07,0.00
Belarus,BLR,2009,0.14,0.00,0.00,0.11,0.00
Belarus,BLR,2010,0.15,0.00,0.00,0.13,0.00
Belarus,BLR,2011,0.13,0.00,0.00,0.14,0.00
Belarus,BLR,2012,0.24,0.03,0.00,0.16,0.00
Belarus,BLR,2013,0.47,0.03,0.00,0.22,0.00
Belarus,BLR,2014,0.37,0.03,0.00,0.21,0.00
Belarus,BLR,2015,0.34,0.09,0.03,0.27,0.00
Belarus,BLR,2016,0.44,0.25,0.10,0.35,0.00
Belarus,BLR,2017,1.23,0.31,0.28,0.69,0.00
Belarus,BLR,2018,0.87,0.27,0.49,0.58,0.00
Belarus,BLR,2019,0.90,0.48,0.48,0.71,0.00
Belarus,BLR,2020,1.08,0.52,0.50,0.99,0.00
Belarus,BLR,2021,0.89,0.43,0.41,0.97,0.00
Belgium,BEL,1985,0.50,0.00,0.00,0.19,0.00
Belgium,BEL,1986,0.58,0.00,0.00,0.25,0.00
Belgium,BEL,1987,0.68,0.01,0.00,0.30,0.00
Belgium,BEL,1988,0.55,0.01,0.00,0.28,0.00
Belgium,BEL,1989,0.45,0.01,0.00,0.26,0.00
Belgium,BEL,1990,0.38,0.01,0.00,0.27,0.00
Belgium,BEL,1991,0.32,0.01,0.00,0.26,0.00
Belgium,BEL,1992,0.48,0.01,0.00,0.29,0.00
Belgium,BEL,1993,0.36,0.01,0.00,0.25,0.00
Belgium,BEL,1994,0.49,0.01,0.00,0.28,0.00
Belgium,BEL,1995,0.46,0.01,0.00,0.31,0.00
Belgium,BEL,1996,0.32,0.01,0.00,0.24,0.00
Belgium,BEL,1997,0.40,0.01,0.00,0.25,0.00
Belgium,BEL,1998,0.48,0.01,0.00,0.32,0.00
Belgium,BEL,1999,0.41,0.01,0.00,0.36,0.00
Belgium,BEL,2000,0.56,0.02,0.00,0.43,0.00
Belgium,BEL,2001,0.56,0.05,0.00,0.45,0.00
Belgium,BEL,2002,0.44,0.07,0.00,0.48,0.00
Belgium,BEL,2003,0.30,0.11,0.00,0.49,0.00
Belgium,BEL,2004,0.39,0.17,0.00,0.61,0.00
Belgium,BEL,2005,0.34,0.27,0.00,0.87,0.00
Belgium,BEL,2006,0.43,0.45,0.00,1.21,0.00
Belgium,BEL,2007,0.45,0.57,0.01,1.42,0.00
Belgium,BEL,2008,0.50,0.77,0.05,1.76,0.00
Belgium,BEL,2009,0.37,1.12,0.19,2.52,0.00
Belgium,BEL,2010,0.33,1.39,0.60,3.10,0.00
Belgium,BEL,2011,0.22,2.59,1.31,4.05,0.00
Belgium,BEL,2012,0.44,3.39,2.64,5.06,0.00
Belgium,BEL,2013,0.47,4.48,3.23,5.38,0.00
Belgium,BEL,2014,0.41,6.51,4.07,6.05,0.00
Belgium,BEL,2015,0.47,8.18,4.49,6.66,0.00
Belgium,BEL,2016,0.44,6.46,3.69,6.36,0.00
Belgium,BEL,2017,0.32,7.68,3.90,6.91,0.00
Belgium,BEL,2018,0.39,10.30,5.30,7.42,0.00
Belgium,BEL,2019,0.33,10.57,4.60,7.96,0.00
Belgium,BEL,2020,0.31,14.59,5.81,10.64,0.00
Belgium,BEL,2021,0.42,12.12,5.68,9.34,0.00
Brazil,BRA,1985,92.10,0.00,0.00,43.93,43.44
Brazil,BRA,1986,90.25,0.00,0.00,43.22,28.96
Brazil,BRA,1987,91.28,0.00,0.00,42.78,28.96
Brazil,BRA,1988,92.62,0.00,0.00,44.01,43.44
Brazil,BRA,1989,92.31,0.00,0.00,44.57,43.44
Brazil,BRA,1990,92.77,0.00,0.00,45.28,43.44
Brazil,BRA,1991,92.92,0.00,0.00,45.86,43.44
Brazil,BRA,1992,92.38,0.00,0.00,44.90,43.44
Brazil,BRA,1993,93.28,0.00,0.00,45.16,43.44
Brazil,BRA,1994,93.33,0.00,0.00,44.57,43.44
Brazil,BRA,1995,92.13,0.00,0.00,44.35,43.44
Brazil,BRA,1996,91.24,0.00,0.00,44.08,43.44
Brazil,BRA,1997,90.58,0.00,0.00,43.49,43.44
Brazil,BRA,1998,90.59,0.00,0.00,43.57,43.44
Brazil,BRA,1999,87.53,0.00,0.00,43.14,28.96
Brazil,BRA,2000,87.97,0.00,0.00,43.29,28.96
Brazil,BRA,2001,82.06,0.01,0.00,39.11,28.96
Brazil,BRA,2002,83.23,0.02,0.00,40.76,28.96
Brazil,BRA,2003,84.30,0.02,0.00,42.28,28.96
Brazil,BRA,2004,83.32,0.02,0.00,42.29,28.96
Brazil,BRA,2005,84.42,0.02,0.00,43.15,28.96
Brazil,BRA,2006,83.83,0.06,0.00,43.05,28.96
Brazil,BRA,2007,84.70,0.15,0.00,44.38,43.44
Brazil,BRA,2008,80.46,0.18,0.00,43.37,28.96
Brazil,BRA,2009,84.39,0.27,0.00,46.31,43.44
Brazil,BRA,2010,78.96,0.43,0.00,44.25,43.44
Brazil,BRA,2011,81.22,0.51,0.00,43.91,43.44
Brazil,BRA,2012,75.91,0.92,0.00,42.07,28.96
Brazil,BRA,2013,69.39,1.17,0.00,39.84,28.96
Brazil,BRA,2014,64.18,2.10,0.00,38.85,28.96
Brazil,BRA,2015,62.94,3.76,0.01,40.60,28.96
Brazil,BRA,2016,66.66,5.82,0.01,43.54,43.44
Brazil,BRA,2017,63.82,7.24,0.14,43.28,28.96
Brazil,BRA,2018,65.47,8.10,0.58,46.08,43.44
Brazil,BRA,2019,64.31,8.96,1.07,47.30,43.44
Brazil,BRA,2020,64.51,9.19,1.73,49.47,43.44
Brazil,BRA,2021,54.76,10.79,2.53,46.22,43.44
Bulgaria,BGR,1985,5.37,0.00,0.00,1.96,0.00
Bulgaria,BGR,1986,5.56,0.00,0.00,2.00,0.00
Bulgaria,BGR,1987,5.84,0.00,0.00,2.17,0.00
Bulgaria,BGR,1988,5.77,0.00,0.00,2.17,0.00
Bulgaria,BGR,1989,6.07,0.00,0.00,2.27,0.00
Bulgaria,BGR,1990,3.89,0.00,0.00,1.71,0.00
Bulgaria,BGR,1991,5.58,0.00,0.00,2.75,0.00
Bulgaria,BGR,1992,5.36,0.00,0.00,2.48,0.00
Bulgaria,BGR,1993,4.73,0.00,0.00,2.19,0.00
Bulgaria,BGR,1994,3.42,0.00,0.00,1.72,0.00
Bulgaria,BGR,1995,5.21,0.00,0.00,2.52,0.00
Bulgaria,BGR,1996,6.77,0.00,0.00,3.19,0.00
Bulgaria,BGR,1997,6.39,0.00,0.00,3.18,0.00
Bulgaria,BGR,1998,7.41,0.00,0.00,3.72,0.00
Bulgaria,BGR,1999,7.19,0.00,0.00,3.79,0.00
Bulgaria,BGR,2000,6.48,0.00,0.00,3.63,0.00
Bulgaria,BGR,2001,3.80,0.00,0.00,2.27,0.00
Bulgaria,BGR,2002,5.04,0.00,0.00,2.92,0.00
Bulgaria,BGR,2003,7.07,0.00,0.00,3.86,0.00
Bulgaria,BGR,2004,7.58,0.00,0.00,4.14,0.00
Bulgaria,BGR,2005,9.79,0.00,0.00,5.21,0.00
Bulgaria,BGR,2006,9.26,0.04,0.00,4.98,0.00
Bulgaria,BGR,2007,6.60,0.12,0.00,3.51,0.00
Bulgaria,BGR,2008,6.26,0.27,0.00,3.60,0.00
Bulgaria,BGR,2009,8.10,0.57,0.00,5.13,0.00
Bulgaria,BGR,2010,10.94,1.48,0.02,7.62,0.00
Bulgaria,BGR,2011,5.75,1.72,0.20,4.85,0.00
Bulgaria,BGR,2012,6.84,2.62,1.68,6.87,0.00
Bulgaria,BGR,2013,9.39,3.18,3.23,9.59,0.00
Bulgaria,BGR,2014,9.80,2.83,2.69,9.54,0.00
Bulgaria,BGR,2015,11.60,2.98,2.83,10.60,0.00
Bulgaria,BGR,2016,8.71,3.19,3.12,9.05,0.00
Bulgaria,BGR,2017,6.30,3.34,3.12,7.62,0.00
Bulgaria,BGR,2018,11.07,2.84,2.88,11.80,0.00
Bulgaria,BGR,2019,6.69,3.01,3.24,9.95,0.00
Bulgaria,BGR,2020,7.01,3.68,3.65,10.69,0.00
Bulgaria,BGR,2021,10.19,3.02,3.11,11.49,0.00
Canada,CAN,1985,66.15,0.00,0.00,31.61,28.96
Canada,CAN,1986,66.29,0.00,0.00,32.05,28.96
Canada,CAN,1987,63.70,0.00,0.00,31.65,28.96
Canada,CAN,1988,60.76,0.00,0.00,29.61,28.96
Canada,CAN,1989,58.31,0.00,0.00,27.82,14.48
Canada,CAN,1990,61.52,0.00,0.00,29.48,28.96
Canada,CAN,1991,60.61,0.00,0.00,30.50,28.96
Canada,CAN,1992,60.77,0.01,0.00,30.51,28.96
Canada,CAN,1993,60.77,0.01,0.00,30.45,28.96
Canada,CAN,1994,59.28,0.01,0.00,29.93,28.96
Canada,CAN,1995,59.88,0.01,0.00,29.89,28.96
Canada,CAN,1996,62.03,0.01,0.00,30.88,28.96
Canada,CAN,1997,60.92,0.01,0.00,30.28,28.96
Canada,CAN,1998,58.87,0.01,0.00,29.31,28.96
Canada,CAN,1999,59.71,0.03,0.00,29.59,28.96
Canada,CAN,2000,60.32,0.04,0.00,29.77,28.96
Canada,CAN,2001,57.65,0.06,0.00,28.20,14.48
Canada,CAN,2002,59.43,0.07,0.00,28.55,14.48
Canada,CAN,2003,58.37,0.15,0.00,27.18,14.48
Canada,CAN,2004,57.94,0.16,0.00,26.83,14.48
Canada,CAN,2005,59.08,0.26,0.00,28.27,14.48
Canada,CAN,2006,58.94,0.42,0.00,27.62,14.48
Canada,CAN,2007,59.37,0.49,0.00,27.69,14.48
Canada,CAN,2008,60.78,0.62,0.01,28.59,14.48
Canada,CAN,2009,61.32,1.12,0.02,29.21,28.96
Canada,CAN,2010,59.79,1.49,0.04,27.79,14.48
Canada,CAN,2011,60.83,1.65,0.09,28.63,14.48
Canada,CAN,2012,61.49,1.83,0.14,28.98,28.96
Canada,CAN,2013,60.82,2.79,0.23,28.94,14.48
Canada,CAN,2014,59.53,3.51,0.33,28.15,14.48
Canada,CAN,2015,59.22,4.18,0.45,28.76,14.48
Canada,CAN,2016,59.17,4.75,0.62,29.65,28.96
Canada,CAN,2017,60.59,4.84,0.55,29.67,28.96
Canada,CAN,2018,60.08,5.17,0.59,28.81,14.48
Canada,CAN,2019,59.88,5.15,0.64,28.59,14.48
Canada,CAN,2020,61.04,5.73,0.68,30.54,28.96
Canada,CAN,2021,60.25,5.63,0.82,29.89,28.96
Chile,CHL,1985,78.85,0.00,0.00,30.30,28.96
Chile,CHL,1986,79.82,0.00,0.00,31.16,28.96
Chile,CHL,1987,82.00,0.00,0.00,32.09,28.96
Chile,CHL,1988,74.24,0.00,0.00,28.36,14.48
Chile,CHL,1989,59.19,0.00,0.00,21.77,14.48
Chile,CHL,1990,48.60,0.00,0.00,18.96,14.48
Chile,CHL,1991,65.80,0.00,0.00,24.08,14.48
Chile,CHL,1992,74.90,0.00,0.00,28.36,14.48
Chile,CHL,1993,71.70,0.00,0.00,27.53,14.48
Chile,CHL,1994,67.20,0.00,0.00,25.95,14.48
Chile,CHL,1995,65.70,0.00,0.00,26.03,14.48
Chile,CHL,1996,54.80,0.00,0.00,22.55,14.48
Chile,CHL,1997,56.90,0.00,0.00,21.91,14.48
Chile,CHL,1998,44.90,0.00,0.00,18.06,14.48
Chile,CHL,1999,35.37,0.00,0.00,15.28,14.48
Chile,CHL,2000,47.51,0.00,0.00,19.57,14.48
Chile,CHL,2001,51.77,0.00,0.00,22.05,14.48
Chile,CHL,2002,53.10,0.00,0.00,22.62,14.48
